epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,5070.34,0.79974,0.25293,0.00633,0.9952,0.97606,0.99458,0.74015,0.42066,0.11796,0.0055,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5175.61,0.8033,0.25634,0.00637,0.9962,0.98343,0.99303,0.76367,0.39966,0.12143,0.00522,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5281.4,0.78788,0.25034,0.00626,0.9959,0.98158,0.9941,0.75019,0.42071,0.11862,0.00557,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5386.78,0.77106,0.23772,0.00611,0.99623,0.97398,0.99447,0.75001,0.41652,0.11351,0.00551,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5492.34,0.77436,0.24144,0.00608,0.99505,0.98895,0.99493,0.74667,0.41638,0.10939,0.00546,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5597.89,0.76436,0.23319,0.006,0.99445,0.98998,0.99494,0.7443,0.41132,0.11844,0.00543,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5703.33,0.75308,0.23241,0.00593,1,0.99261,0.995,0.74553,0.42068,0.10638,0.00555,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5808.97,0.73281,0.22417,0.00577,0.99813,0.98267,0.99489,0.73999,0.41976,0.1201,0.00554,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5914.6,0.72569,0.22615,0.00572,0.99172,0.98158,0.99448,0.74537,0.41229,0.12305,0.00543,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6019.85,0.71551,0.22331,0.00559,1,0.97773,0.99399,0.7424,0.41703,0.12019,0.00551,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6125.17,0.70465,0.22581,0.00557,0.99439,0.97863,0.99019,0.74408,0.41493,0.12786,0.00551,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6230.71,0.70018,0.21631,0.00551,0.99242,0.99079,0.99489,0.73431,0.42554,0.119,0.00565,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6336.42,0.69369,0.21449,0.00543,1,0.97968,0.99473,0.74933,0.40807,0.11723,0.00541,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6441.74,0.68402,0.22086,0.00539,0.99812,0.97816,0.99465,0.74773,0.40929,0.114,0.00544,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6547.36,0.67158,0.20728,0.00524,0.99919,0.98158,0.99489,0.75359,0.41732,0.11112,0.00552,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6652.78,0.66706,0.20409,0.00519,0.99626,0.98123,0.99442,0.73868,0.41232,0.12157,0.00542,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6758.44,0.65127,0.20469,0.00505,0.99792,0.98343,0.9948,0.75526,0.4072,0.11661,0.00537,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6864.01,0.64175,0.19765,0.00504,1,0.97737,0.99457,0.75106,0.40692,0.12659,0.00535,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6969.33,0.6369,0.195,0.00498,0.99978,0.98343,0.99459,0.75194,0.41508,0.12327,0.00548,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7074.97,0.63258,0.20026,0.00494,1,0.9851,0.99485,0.7536,0.40687,0.11751,0.00537,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7180.54,0.61963,0.19304,0.00485,0.99942,0.98343,0.99464,0.74539,0.40929,0.11765,0.00538,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7286.13,0.61244,0.18786,0.00472,0.99764,0.98343,0.99428,0.74466,0.40965,0.12084,0.00539,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7391.63,0.6039,0.18535,0.00472,0.99956,0.98158,0.99135,0.74339,0.41171,0.12901,0.0054,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7497.17,0.59535,0.18808,0.00465,0.99918,0.9779,0.99438,0.74548,0.40904,0.13108,0.00539,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7602.86,0.58916,0.19181,0.00462,0.99591,0.9779,0.99396,0.74369,0.40787,0.13237,0.00534,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7708.31,0.57958,0.19083,0.0045,0.9941,0.97053,0.99069,0.74054,0.41613,0.14306,0.00543,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7814.14,0.56356,0.19111,0.00432,0.99357,0.9779,0.99387,0.74446,0.41481,0.11722,0.00546,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7919.94,0.55244,0.18181,0.0043,0.99745,0.98343,0.9932,0.74741,0.41261,0.1164,0.00546,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8025.47,0.54876,0.18545,0.00425,0.99438,0.97809,0.99455,0.7512,0.41011,0.12981,0.00542,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8130.77,0.53498,0.17267,0.00411,0.99548,0.9779,0.99446,0.75022,0.41095,0.11705,0.00543,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8236.03,0.52711,0.16866,0.00402,0.99256,0.98298,0.99441,0.74882,0.41253,0.1297,0.00545,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8341.67,0.52972,0.16901,0.00405,0.99857,0.98158,0.99461,0.74751,0.41515,0.13456,0.00549,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8447.46,0.51861,0.16701,0.00398,0.99484,0.9779,0.99138,0.75045,0.40867,0.12483,0.00543,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8552.9,0.5066,0.16196,0.0039,1,0.97958,0.99149,0.74875,0.40396,0.12354,0.00533,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8658.67,0.49458,0.16263,0.0038,0.9943,0.98343,0.99356,0.75238,0.40523,0.13708,0.00535,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8763.94,0.48378,0.15739,0.00371,0.99979,0.98343,0.99457,0.7554,0.40427,0.13151,0.00534,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8869.52,0.46783,0.15183,0.00358,0.99998,0.98343,0.99368,0.75574,0.40162,0.13452,0.0053,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8975.19,0.47074,0.15298,0.00362,1,0.98277,0.99373,0.75824,0.4037,0.13087,0.00534,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9080.63,0.45693,0.14739,0.00352,0.99813,0.98308,0.99461,0.75682,0.40315,0.13432,0.00532,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9186.38,0.45299,0.144,0.00347,0.99607,0.98343,0.99466,0.7562,0.40231,0.13373,0.00531,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
